Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
participant_id,prescreening_survey,,text,Participant ID,,,,,,,,,,,,,
consentnote,prescreening_survey,,descriptive,,,,,,,,,,,,,,
age,prescreening_survey,Please fill out the information below.,yesno,Are you 18 years of age or older,,,,,,,,y,,,,,
wsuwork,prescreening_survey,,yesno,Are you an employee of or work at Washington State University?,,,,,,,,y,,,,,
studentyn,prescreening_survey,,yesno,Are you currently a student (undergraduate/ graduate/ professional) at Washington State University? ,,,,,,,,y,,,,,
consent,prescreening_survey,,checkbox,"By checking this box, I certify that I am at least 18 years old and that I give my consent freely to participate in this study.","1, I consent",,,,,,,,,,,,
transition_statement,prescreening_survey,,descriptive,Thank you for completing the screening survey. You will now be directed to the main questionnaire. ,,,,,,,,,,,,,
contact1,explanationexample,"<div class=""rich-text-field-label""><p>Social Contact Questionnaire<br /><br />[INSTRUCTIONS]<br /><br />To better understand how COVID-19 is being spread in the WSU system, we wish to understand how people meet and interact with one another. Over the course of a day, we are asking you about (1) who you interacted with, (2) where you interacted with them, (3) and for how long the interaction took place.<br /><br />We are asking you about any contact you had on a specific day over 24 hours between 11:59 pm yesterday and 11:59 pm today. This contact includes persons within your household (e.g. partner, children, roommates, etc.), as well as anyone outside your household.<br /><br />We are asking about everyone you interacted with whom you either:<br /><br />· Had a face-to-face conversation, with or without masks on.<br /><br />· Touched via skin-to-skin contact, such as a handshake, kiss, or through contact sports or other physical activity.<br /><br />· Were indoors in a room for ten or more minutes; or<br /><br />· Were non-socially distanced, indoors or outdoors, for ten or more minutes.<br /><br />Please do not provide identifying information. Rather, use a short description of that person. Your answers will be entered into a database, but all information will be encrypted and securely stored. Only researchers involved in this study will have access to the data.<br /><br />Do include everyone you interacted with, even people you very briefly spoke with (e.g., cashiers, mail/package delivery drivers, or simply in passing, such as other staff/faculty/students in hallways).<br /><br />Do NOT include people you spoke to or communicated with that you did not meet in person (e.g., zoom classes, telephone calls).<br /><br />Please use one row to record each separate person with whom you were in contact. If you have multiple contacts with the same individual in the same place during different times of the day, you can record those contacts in the same row. For example, if you have close contact and conversations with your child at home in the morning, and then again, at home in the afternoon, you can record both contact episodes in a single row. However, if you picked your child up from school and then travelled home with them on a public bus, you should record these contact episodes as two separate rows according to the context in which you met (e.g., school and travel are different contexts)<br /><br />There are six options to select when describing the context in which you interacted with an individual*:<br /><br />1. In your home<br /><br />2. At work/school<br /><br />3. Traveling (bus/car/bike/walking from one location to another)<br /><br />4. Shopping<br /><br />5. Leisure (e.g., playing sports, exercising, going to a restaurant, attending church, visiting another home)<br /><br />6. Other (any place that doesn't fit)<br /><br />*Because you may interact with the same person several times during the day, you should record all unique contexts in which you encountered that person.<br /><br />Please provide a description and approximate age of the person, location of where you met and the address, if you know it.<br /><br />Now try to estimate the maximum amount of time you spent with that individual at that location (e.g., if you spent 30 minutes in the morning at home with your significant other and then another 3 hours at home in the evening with your significant other, you would only make one entry for that individual and select more than 1 hour).<br /><br />An Example Day<br /><br />At Home:<br /><br />You start your day at home, with the rest of your family. You eat together and when you leave you kiss your partner and/or children goodbye.<br /><br />On the Way to Work:<br /><br />You briefly interact with a friend (Friend 1) in the parking lot at work: you exchange greetings and walk into work together and separate at your respective offices/workstations.<br /><br />At Work:<br /><br />At work you greet two of your regular office colleagues (Colleague 1 and Colleague 2) with whom you share an office. You all wear a mask. You spend an hour talking to each of them.<br /><br />At lunchtime, you and Colleague 2 go on a walk and stop at a café for coffee to bring back. At the café you are joined by another person from work, Colleague 3, whom you exchange greetings and stand in line with. While at the café you speak to two baristas.<br /><br />During your working day you meet with three students individually in your office - you are not 6-ft apart but keep your masks on.<br /><br />On the Way Home:<br /><br />On the way home from work, you stopped at Safeway and speak to two other customers and a cashier.<br /><br />At Home:<br /><br />After work, you return home where you spend further time with your family, eating and interacting with your partner/children before going to bed.<br /><br />EXAMPLE QUESTIONNAIRE:<br /><br /></p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 5.22255%;""> </td> <td style=""width: 1.48368%;"">Contact name or description of person.</td> <td style=""width: 12.1069%;"">Age of Contact (yrs)</td> <td style=""width: 7.29971%;"">Were you wearing a mask?</td> <td style=""width: 5.22255%;"">Did you touch?</td> <td style=""width: 5.22255%;"">In what context(s) did you interact with this person</td> <td style=""width: 8.66469%;"">What is the location of where you interacted?</td> <td style=""width: 12.3442%;"">How long did you spend with them during the whole day?</td> </tr> <tr> <td style=""width: 5.22255%;"">1</td> <td style=""width: 1.48368%;"">Partner</td> <td style=""width: 12.1069%;""> <p><span style=""font-weight: normal;"">□ 0-17</span></p> <p><span style=""font-weight: normal;"">□ 18-25</span></p> <p><span style=""font-weight: normal;"">□</span> 26-64</p> <p><span style=""font-weight: normal;"">□ 65+</span></p> </td> <td style=""width: 7.29971%;""> <p><span style=""font-weight: normal;"">□ Both</span></p> <p><span style=""font-weight: normal;"">□ I was</span></p> <p><span style=""font-weight: normal;"">□ They were</span></p> <p><span style=""font-weight: normal;"">□</span>Neither</p> </td> <td style=""width: 5.22255%;""> <p>□ Yes<span style=""font-weight: normal;"">   </span></p> <p><span style=""font-weight: normal;"">□ No</span></p> </td> <td style=""width: 5.22255%;""> <p><span style=""font-weight: normal;"">□</span>My<span style=""font-weight: normal;""> </span>Home</p> <p><span style=""font-weight: normal;"">□ Work</span></p> <p><span style=""font-weight: normal;"">□ Leisure</span></p> <p><span style=""font-weight: normal;"">□ Travel</span></p> <p><span style=""font-weight: normal;"">□Shopping </span></p> <p><span style=""font-weight: normal;"">□ Other</span></p> </td> <td style=""width: 8.66469%;"">In my house</td> <td style=""width: 12.3442%;""> <p><span style=""font-weight: normal;"">□ < 10 minutes</span></p> <p><span style=""font-weight: normal;""> □ 10-30 minutes</span></p> <p><span style=""font-weight: normal;""> □ 30 – 60 minutes</span></p> <p><span style=""font-weight: normal;""> □</span> >1 hr</p> </td> </tr> <tr> <td style=""width: 5.22255%;"">2</td> <td style=""width: 1.48368%;"">Child</td> <td style=""width: 12.1069%;""> <p><span style=""font-weight: normal;"">□ </span>0-17</p> <p><span style=""font-weight: normal;"">□ 18-25</span></p> <p><span style=""font-weight: normal;"">□ 26-64</span></p> <p><span style=""font-weight: normal;"">□ 65+</span></p> </td> <td style=""width: 7.29971%;""> <p><span style=""font-weight: normal;"">□ Both</span></p> <p><span style=""font-weight: normal;"">□ I was</span></p> <p><span style=""font-weight: normal;"">□ They were</span></p> <p><span style=""font-weight: normal;"">□</span>Neither</p> </td> <td style=""width: 5.22255%;""> <p><span style=""font-weight: normal;"">□ </span>Yes<span style=""font-weight: normal;"">   </span></p> <p><span style=""font-weight: normal;"">□ No</span></p> </td> <td style=""width: 5.22255%;""> <p><span style=""font-weight: normal;"">□</span>My<span style=""font-weight: normal;""> </span>Home</p> <p><span style=""font-weight: normal;"">□ Work</span></p> <p><span style=""font-weight: normal;"">□ Leisure</span></p> <p><span style=""font-weight: normal;"">□ Travel</span></p> <p><span style=""font-weight: normal;"">□Shopping </span></p> <p><span style=""font-weight: normal;"">□ Other</span></p> </td> <td style=""width: 8.66469%;"">In my house</td> <td style=""width: 12.3442%;""> <p><span style=""font-weight: normal;"">□ < 10 minutes</span></p> <p><span style=""font-weight: normal;"">□ 10-30 minutes</span></p> <p><span style=""font-weight: normal;"">□ 30 – 60 minutes</span></p> <p><span style=""font-weight: normal;"">□</span> >1 hr</p> </td> </tr> <tr> <td style=""width: 5.22255%;"">3</td> <td style=""width: 1.48368%;""> <p>Friend</p> </td> <td style=""width: 12.1069%;""> <p><span style=""font-weight: normal;"">□ 0-17</span></p> <p><span style=""font-weight: normal;"">□ 18-25</span></p> <p><span style=""font-weight: normal;"">□ 26-64</span></p> <p>□ 65+</p> </td> <td style=""width: 7.29971%;""> <p><span style=""font-weight: normal;"">□</span> Both</p> <p><span style=""font-weight: normal;"">□ I was</span></p> <p><span style=""font-weight: normal;"">□ They were</span></p> <p><span style=""font-weight: normal;"">□Neither</span></p> </td> <td style=""width: 5.22255%;""> <p><span style=""font-weight: normal;"">□</span> Yes <span style=""font-weight: normal;"">  </span></p> <p><span style=""font-weight: normal;"">□ No</span></p> </td> <td style=""width: 5.22255%;""> <p><span style=""font-weight: normal;"">□ My Home</span></p> <p><span style=""font-weight: normal;"">□</span> <span style=""font-weight: normal;"">Work</span></p> <p><span style=""font-weight: normal;"">□ Leisure</span></p> <p><span style=""font-weight: normal;"">□</span> Travel</p> <p><span style=""font-weight: normal;"">□Shopping <br /></span></p> <p><span style=""font-weight: normal;"">□ Other</span></p> </td> <td style=""width: 8.66469%;"">Green Bustad Parking Lot</td> <td style=""width: 12.3442%;""> <p><span style=""font-weight: normal;"">□ </span>< 10 minutes</p> <p><span style=""font-weight: normal;"">□ 10-30 minutes</span></p> <p><span style=""font-weight: normal;"">□ 30 – 60 minutes</span></p> <p><span style=""font-weight: normal;"">□ >1 hr</span></p> </td> </tr> <tr> <td style=""width: 5.22255%;"">4</td> <td style=""width: 1.48368%;"">Colleague 1</td> <td style=""width: 12.1069%;""> <p><span style=""font-weight: normal;"">□ 0-17</span></p> <p><span style=""font-weight: normal;"">□ 18-25</span></p> <p><span style=""font-weight: normal;"">□ </span>26-64</p> <p><span style=""font-weight: normal;"">□ 65+</span></p> </td> <td style=""width: 7.29971%;""> <p><span style=""font-weight: normal;"">□ </span>Both</p> <p><span style=""font-weight: normal;"">□ I was</span></p> <p><span style=""font-weight: normal;"">□ They were</span></p> <p><span style=""font-weight: normal;"">□Neither</span></p> </td> <td style=""width: 5.22255%;""> <p><span style=""font-weight: normal;"">□ Yes   </span></p> <p><span style=""font-weight: normal;"">□ </span>No</p> </td> <td style=""width: 5.22255%;""> <p><span style=""font-weight: normal;"">□ My Home</span></p> <p><span style=""font-weight: normal;"">□ </span>Work</p> <p><span style=""font-weight: normal;"">□ </span>Leisure</p> <p><span style=""font-weight: normal;"">□ Travel</span></p> <p><span style=""font-weight: normal;"">□Shopping </span></p> <p><span style=""font-weight: normal;"">□ Other</span></p> </td> <td style=""width: 8.66469%;""> <p>Bustad Hall </p> <p>Café, Lighty</p> </td> <td style=""width: 12.3442%;""> <p><span style=""font-weight: normal;"">□ < 10 minutes</span></p> <p><span style=""font-weight: normal;"">□ 10-30 minutes</span></p> <p><span style=""font-weight: normal;"">□ 30 – 60 minutes</span></p> <p><span style=""font-weight: normal;"">□ </span>>1 hr</p> </td> </tr> <tr> <td style=""width: 5.22255%;"">5</td> <td style=""width: 1.48368%;""> <p>Colleague 2</p> </td> <td style=""width: 12.1069%;""> <p><span style=""font-weight: normal;"">□ 0-17</span></p> <p><span style=""font-weight: normal;"">□</span> 18-25</p> <p><span style=""font-weight: normal;"">□ 26-64</span></p> <p><span style=""font-weight: normal;"">□ 65+</span></p> </td> <td style=""width: 7.29971%;""> <p><span style=""font-weight: normal;"">□ </span>Both</p> <p><span style=""font-weight: normal;"">□ I was</span></p> <p><span style=""font-weight: normal;"">□ They were</span></p> <p><span style=""font-weight: normal;"">□Neither</span></p> </td> <td style=""width: 5.22255%;""> <p><span style=""font-weight: normal;"">□ Yes   </span></p> <p><span style=""font-weight: normal;"">□</span> No</p> </td> <td style=""width: 5.22255%;""> <p><span style=""font-weight: normal;"">□My Home</span></p> <p><span style=""font-weight: normal;"">□ </span>Work</p> <p><span style=""font-weight: normal;"">□ Leisure</span></p> <p><span style=""font-weight: normal;"">□ Travel</span></p> <p><span style=""font-weight: normal;"">□Shopping </span></p> <p><span style=""font-weight: normal;"">□ Other</span></p> </td> <td style=""width: 8.66469%;"">Bustad hall</td> <td style=""width: 12.3442%;""> <p><span style=""font-weight: normal;"">□ < 10 minutes</span></p> <p><span style=""font-weight: normal;"">□ 10-30 minutes</span></p> <p><span style=""font-weight: normal;"">□ 30 – 60 minutes</span></p> <p><span style=""font-weight: normal;"">□</span> >1 hr</p> </td> </tr> <tr> <td style=""width: 5.22255%;"">6</td> <td style=""width: 1.48368%;""> <p>Colleague 3</p> </td> <td style=""width: 12.1069%;""> <p><span style=""font-weight: normal;"">□ 0-17</span></p> <p><span style=""font-weight: normal;"">□ 18-25</span></p> <p>□ 26-64</p> <p><span style=""font-weight: normal;"">□ 65+</span></p> </td> <td style=""width: 7.29971%;""> <p><span style=""font-weight: normal;"">□ </span>Both</p> <p><span style=""font-weight: normal;"">□ I was</span></p> <p><span style=""font-weight: normal;"">□ They were</span></p> <p><span style=""font-weight: normal;"">□Neither</span></p> </td> <td style=""width: 5.22255%;""> <p><span style=""font-weight: normal;"">□ Yes   </span></p> <p><span style=""font-weight: normal;"">□ </span>No</p> </td> <td style=""width: 5.22255%;""> <p><span style=""font-weight: normal;"">□My Home</span></p> <p><span style=""font-weight: normal;"">□ Work</span></p> <p><span style=""font-weight: normal;"">□ </span>Leisure</p> <p><span style=""font-weight: normal;"">□ Travel</span></p> <p><span style=""font-weight: normal;"">□Shopping </span></p> <p><span style=""font-weight: normal;"">□</span><span style=""font-weight: normal;""> Other</span></p> </td> <td style=""width: 8.66469%;"">Café, Lighty</td> <td style=""width: 12.3442%;""> <p><span style=""font-weight: normal;"">□ </span>< 10 minutes</p> <p><span style=""font-weight: normal;"">□ 10-30 minutes</span></p> <p><span style=""font-weight: normal;"">□ 30 – 60 minutes</span></p> <p><span style=""font-weight: normal;"">□ >1 hr</span></p> </td> </tr> <tr> <td style=""width: 5.22255%;"">7</td> <td style=""width: 1.48368%;"">Barista A</td> <td style=""width: 12.1069%;""> <p><span style=""font-weight: normal;"">□ 0-17</span></p> <p><span style=""font-weight: normal;"">□ </span>18-25</p> <p><span style=""font-weight: normal;"">□ 26-64</span></p> <p><span style=""font-weight: normal;"">□ 65+</span></p> </td> <td style=""width: 7.29971%;""> <p><span style=""font-weight: normal;"">□ </span>Both</p> <p><span style=""font-weight: normal;"">□ I was</span></p> <p><span style=""font-weight: normal;"">□ They were</span></p> <p><span style=""font-weight: normal;"">□Neither</span></p> </td> <td style=""width: 5.22255%;""> <p><span style=""font-weight: normal;"">□ Yes   </span></p> <p><span style=""font-weight: normal;"">□ </span>No</p> </td> <td style=""width: 5.22255%;""> <p><span style=""font-weight: normal;"">□My Home</span></p> <p><span style=""font-weight: normal;"">□ Work</span></p> <p><span style=""font-weight: normal;"">□ </span>Leisure</p> <p><span style=""font-weight: normal;"">□ Travel</span></p> <p><span style=""font-weight: normal;"">□Shopping </span></p> <p><span style=""font-weight: normal;"">□ Other</span></p> </td> <td style=""width: 8.66469%;"">Café, Lighty</td> <td style=""width: 12.3442%;""> <p><span style=""font-weight: normal;"">□ </span>< 10 minutes</p> <p><span style=""font-weight: normal;"">□ 10-30 minutes</span></p> <p><span style=""font-weight: normal;"">□ 30 – 60 minutes</span></p> <p><span style=""font-weight: normal;"">□ >1 hr</span></p> </td> </tr> <tr> <td style=""width: 5.22255%;"">8</td> <td style=""width: 1.48368%;"">Barista B</td> <td style=""width: 12.1069%;""> <p><span style=""font-weight: normal;"">□ 0-17</span></p> <p><span style=""font-weight: normal;"">□ </span>18-25</p> <p><span style=""font-weight: normal;"">□ 26-64</span></p> <p><span style=""font-weight: normal;"">□ 65+</span></p> </td> <td style=""width: 7.29971%;""> <p><span style=""font-weight: normal;"">□</span> Both</p> <p><span style=""font-weight: normal;"">□ I was</span></p> <p><span style=""font-weight: normal;"">□ They were</span></p> <p><span style=""font-weight: normal;"">□Neither</span></p> </td> <td style=""width: 5.22255%;""> <p><span style=""font-weight: normal;"">□ Yes   </span></p> <p><span style=""font-weight: normal;"">□</span> No</p> </td> <td style=""width: 5.22255%;""> <p><span style=""font-weight: normal;"">□My Home</span></p> <p><span style=""font-weight: normal;"">□ Work</span></p> <p><span style=""font-weight: normal;"">□</span> Leisure</p> <p><span style=""font-weight: normal;"">□ Travel</span></p> <p><span style=""font-weight: normal;"">□Shopping </span></p> <p><span style=""font-weight: normal;"">□ Other</span></p> </td> <td style=""width: 8.66469%;"">Café, Lighty</td> <td style=""width: 12.3442%;""> <p><span style=""font-weight: normal;"">□ </span>< 10 minutes</p> <p><span style=""font-weight: normal;"">□ 10-30 minutes</span></p> <p><span style=""font-weight: normal;"">□ 30 – 60 minutes</span></p> <p><span style=""font-weight: normal;"">□ >1 hr</span></p> </td> </tr> <tr> <td style=""width: 5.22255%;"">9</td> <td style=""width: 1.48368%;""> <p>Student 1</p> </td> <td style=""width: 12.1069%;""> <p><span style=""font-weight: normal;"">□ 0-17</span></p> <p><span style=""font-weight: normal;"">□ </span>18-25</p> <p><span style=""font-weight: normal;"">□ 26-64</span></p> <p><span style=""font-weight: normal;"">□ 65+</span></p> </td> <td style=""width: 7.29971%;""> <p><span style=""font-weight: normal;"">□ </span>Both</p> <p><span style=""font-weight: normal;"">□ I was</span></p> <p><span style=""font-weight: normal;"">□ They were</span></p> <p><span style=""font-weight: normal;"">□Neither</span></p> </td> <td style=""width: 5.22255%;""> <p><span style=""font-weight: normal;"">□ Yes   </span></p> <p><span style=""font-weight: normal;"">□ </span>No</p> </td> <td style=""width: 5.22255%;""> <p><span style=""font-weight: normal;"">□My Home</span></p> <p><span style=""font-weight: normal;"">□ </span>Work</p> <p><span style=""font-weight: normal;"">□ Leisure</span></p> <p><span style=""font-weight: normal;"">□ Travel</span></p> <p><span style=""font-weight: normal;"">□Shopping </span></p> <p><span style=""font-weight: normal;"">□ Other</span></p> </td> <td style=""width: 8.66469%;""><span style=""font-weight: normal;""> </span>Bustad hall</td> <td style=""width: 12.3442%;""> <p><span style=""font-weight: normal;"">□ < 10 minutes</span></p> <p><span style=""font-weight: normal;"">□ 10-30 minutes</span></p> <p><span style=""font-weight: normal;"">□ </span>30 – 60 minutes</p> <p><span style=""font-weight: normal;"">□ >1 hr</span></p> </td> </tr> <tr> <td style=""width: 5.22255%;"">10</td> <td style=""width: 1.48368%;"">Student 2</td> <td style=""width: 12.1069%;""> <p><span style=""font-weight: normal;"">□ 0-17</span></p> <p><span style=""font-weight: normal;"">□</span> 18-25</p> <p><span style=""font-weight: normal;"">□ 26-64</span></p> <p><span style=""font-weight: normal;"">□ 65+</span></p> </td> <td style=""width: 7.29971%;""> <p><span style=""font-weight: normal;"">□ </span>Both</p> <p><span style=""font-weight: normal;"">□ I was</span></p> <p><span style=""font-weight: normal;"">□ They were</span></p> <p><span style=""font-weight: normal;"">□Neither</span></p> </td> <td style=""width: 5.22255%;""> <p><span style=""font-weight: normal;"">□ Yes   </span></p> <p><span style=""font-weight: normal;"">□</span> No</p> </td> <td style=""width: 5.22255%;""> <p><span style=""font-weight: normal;"">□My Home</span></p> <p><span style=""font-weight: normal;"">□ </span>Work</p> <p><span style=""font-weight: normal;"">□ Leisure</span></p> <p><span style=""font-weight: normal;"">□ Travel</span></p> <p><span style=""font-weight: normal;"">□Shopping </span></p> <p><span style=""font-weight: normal;"">□ Other</span></p> </td> <td style=""width: 8.66469%;"">Bustad Hall</td> <td style=""width: 12.3442%;""> <p><span style=""font-weight: normal;"">□ < 10 minutes</span></p> <p><span style=""font-weight: normal;"">□ 10-30 minutes</span></p> <p><span style=""font-weight: normal;"">□ </span>30 – 60 minutes</p> <p><span style=""font-weight: normal;"">□ >1 hr</span></p> </td> </tr> <tr> <td style=""width: 5.22255%;"">11</td> <td style=""width: 1.48368%;"">Student 3</td> <td style=""width: 12.1069%;""> <p><span style=""font-weight: normal;"">□ 0-17</span></p> <p><span style=""font-weight: normal;"">□ </span>18-25</p> <p><span style=""font-weight: normal;"">□ 26-64</span></p> <p><span style=""font-weight: normal;"">□ 65+</span></p> </td> <td style=""width: 7.29971%;""> <p><span style=""font-weight: normal;"">□ </span>Both</p> <p><span style=""font-weight: normal;"">□ I was</span></p> <p><span style=""font-weight: normal;"">□ They were</span></p> <p><span style=""font-weight: normal;"">□Neither</span></p> </td> <td style=""width: 5.22255%;""> <p><span style=""font-weight: normal;"">□ Yes   </span></p> <p><span style=""font-weight: normal;"">□</span> No</p> </td> <td style=""width: 5.22255%;""> <p><span style=""font-weight: normal;"">□My Home</span></p> <p><span style=""font-weight: normal;"">□ </span>Work</p> <p><span style=""font-weight: normal;"">□ Leisure</span></p> <p><span style=""font-weight: normal;"">□ Travel</span></p> <p><span style=""font-weight: normal;"">□Shopping</span></p> <p><span style=""font-weight: normal;"">□ Other</span></p> </td> <td style=""width: 8.66469%;""><span style=""font-weight: normal;""> </span>Bustad hall</td> <td style=""width: 12.3442%;""> <p><span style=""font-weight: normal;"">□ < 10 minutes</span></p> <p><span style=""font-weight: normal;"">□ 10-30 minutes</span></p> <p><span style=""font-weight: normal;"">□</span> 30 – 60 minutes</p> <p><span style=""font-weight: normal;"">□ >1 hr</span></p> </td> </tr> <tr> <td style=""width: 5.22255%;"">12</td> <td style=""width: 1.48368%;"">2 Shoppers (a couple, mid 50s)</td> <td style=""width: 12.1069%;""> <p><span style=""font-weight: normal;"">□ 0-17</span></p> <p><span style=""font-weight: normal;"">□ 18-25</span></p> <p><span style=""font-weight: normal;"">□ </span>26-64</p> <p><span style=""font-weight: normal;"">□ 65+</span></p> </td> <td style=""width: 7.29971%;""> <p><span style=""font-weight: normal;"">□ </span>Both</p> <p><span style=""font-weight: normal;"">□ I was</span></p> <p><span style=""font-weight: normal;"">□ They were</span></p> <p><span style=""font-weight: normal;"">□Neither</span></p> </td> <td style=""width: 5.22255%;""> <p><span style=""font-weight: normal;"">□ Yes   </span></p> <p><span style=""font-weight: normal;"">□ </span>No</p> </td> <td style=""width: 5.22255%;""> <p><span style=""font-weight: normal;"">□My Home</span></p> <p><span style=""font-weight: normal;"">□ Work</span></p> <p><span style=""font-weight: normal;"">□ Leisure</span></p> <p><span style=""font-weight: normal;"">□ Travel</span></p> <p><span style=""font-weight: normal;"">□</span>Shopping<span style=""font-weight: normal;""> </span></p> <p><span style=""font-weight: normal;"">□ Other</span></p> </td> <td style=""width: 8.66469%;""><span style=""font-weight: normal;""> </span>Grocery Store, Safeway</td> <td style=""width: 12.3442%;""> <p><span style=""font-weight: normal;"">□</span> < 10 minutes</p> <p><span style=""font-weight: normal;"">□ 10-30 minutes</span></p> <p><span style=""font-weight: normal;"">□ 30 – 60 minutes</span></p> <p><span style=""font-weight: normal;"">□ >1 hr</span></p> </td> </tr> <tr> <td style=""width: 5.22255%;"">13</td> <td style=""width: 1.48368%;"">Casheir</td> <td style=""width: 12.1069%;""> <p><span style=""font-weight: normal;"">□ </span>0-17</p> <p><span style=""font-weight: normal;"">□ 18-25</span></p> <p><span style=""font-weight: normal;"">□ 26-64</span></p> <p><span style=""font-weight: normal;"">□ 65+</span></p> </td> <td style=""width: 7.29971%;""> <p><span style=""font-weight: normal;"">□ </span>Both</p> <p><span style=""font-weight: normal;"">□ I was</span></p> <p><span style=""font-weight: normal;"">□ They were</span></p> <p><span style=""font-weight: normal;"">□Neither</span></p> </td> <td style=""width: 5.22255%;""> <p><span style=""font-weight: normal;"">□ Yes   </span></p> <p><span style=""font-weight: normal;"">□ </span>No</p> </td> <td style=""width: 5.22255%;""> <p><span style=""font-weight: normal;"">□My Home</span></p> <p><span style=""font-weight: normal;"">□ Work</span></p> <p><span style=""font-weight: normal;"">□ Leisure</span></p> <p><span style=""font-weight: normal;"">□ Travel</span></p> <p><span style=""font-weight: normal;"">□</span>Shopping</p> <p><span style=""font-weight: normal;"">□ Other</span></p> </td> <td style=""width: 8.66469%;""><span style=""font-weight: normal;""> </span>Grocery Store, Safeway</td> <td style=""width: 12.3442%;""> <p><span style=""font-weight: normal;"">□</span> < 10 minutes</p> <p><span style=""font-weight: normal;"">□ 10-30 minutes</span></p> <p><span style=""font-weight: normal;"">□ 30 – 60 minutes</span></p> <p><span style=""font-weight: normal;"">□ >1 hr</span></p> </td> </tr> </tbody> </table> <p><br />------------------------------------------End Example---------------------------------</p></div>",text,Contact title or description of person/s,,,,,,,,y,RH,,,,
instertyn,Added later,,yesno,"Did you input a contact somewhere in this year that was a multiple (children,parents,etc) that we then manually inputted, Y/N?",,,,,,,,,,,,,
imptotal,Added later,,number,Number of contacts we had to input ,,,,,,,,,,,,,
